Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
COCOA - ICE FUTURES U.S.,2010-11-23,21070,34731,137381,-13661
COCOA - ICE FUTURES U.S.,2010-11-30,20923,35182,139335,-14259
COCOA - ICE FUTURES U.S.,2010-12-07,26779,30710,146487,-3931
COCOA - ICE FUTURES U.S.,2010-12-14,25851,27905,146877,-2054
COCOA - ICE FUTURES U.S.,2010-12-21,26696,27230,149065,-534
COCOA - ICE FUTURES U.S.,2010-12-28,28199,26508,151552,1691
COCOA - ICE FUTURES U.S.,2011-01-04,30290,27491,155402,2799
COCOA - ICE FUTURES U.S.,2011-01-11,28972,28752,157718,220
COCOA - ICE FUTURES U.S.,2011-01-18,29023,27299,157659,1724
COCOA - ICE FUTURES U.S.,2011-01-25,28582,19525,173958,9057
COCOA - ICE FUTURES U.S.,2011-02-01,30347,18253,189768,12094
COCOA - ICE FUTURES U.S.,2011-02-08,30203,19722,171888,10481
COCOA - ICE FUTURES U.S.,2011-02-15,31644,20290,168421,11354
COCOA - ICE FUTURES U.S.,2011-02-22,34886,20367,171565,14519
COCOA - ICE FUTURES U.S.,2011-03-01,36123,21303,179942,14820
COCOA - ICE FUTURES U.S.,2011-03-08,40127,22501,186048,17626
COCOA - ICE FUTURES U.S.,2011-03-15,35142,23343,184959,11799
COCOA - ICE FUTURES U.S.,2011-03-22,30913,24745,183730,6168
COCOA - ICE FUTURES U.S.,2011-03-29,30195,27120,191244,3075
COCOA - ICE FUTURES U.S.,2011-04-05,24093,27578,190334,-3485
COCOA - ICE FUTURES U.S.,2011-04-12,25096,30032,184172,-4936
COCOA - ICE FUTURES U.S.,2011-04-19,25843,32300,179299,-6457
COCOA - ICE FUTURES U.S.,2011-04-26,26836,33338,181047,-6502
COCOA - ICE FUTURES U.S.,2011-05-03,28061,32073,185783,-4012
COCOA - ICE FUTURES U.S.,2011-05-10,28878,30511,188477,-1633
COCOA - ICE FUTURES U.S.,2011-05-17,24548,32547,189153,-7999
COCOA - ICE FUTURES U.S.,2011-05-24,21974,33419,194250,-11445
COCOA - ICE FUTURES U.S.,2011-05-31,19632,31621,196128,-11989
COCOA - ICE FUTURES U.S.,2011-06-07,16828,31793,182489,-14965
COCOA - ICE FUTURES U.S.,2011-06-14,20012,32525,184080,-12513
COCOA - ICE FUTURES U.S.,2011-06-21,20429,29135,183233,-8706
COCOA - ICE FUTURES U.S.,2011-06-28,21384,25863,183586,-4479
COCOA - ICE FUTURES U.S.,2011-07-05,26939,26335,194281,604
COCOA - ICE FUTURES U.S.,2011-07-12,27161,24450,197375,2711
COCOA - ICE FUTURES U.S.,2011-07-19,26480,25028,197217,1452
COCOA - ICE FUTURES U.S.,2011-07-26,22667,24336,199527,-1669
COCOA - ICE FUTURES U.S.,2011-08-02,20480,28146,205686,-7666
COCOA - ICE FUTURES U.S.,2011-08-09,17407,31426,197956,-14019
COCOA - ICE FUTURES U.S.,2011-08-16,16357,33374,189409,-17017
COCOA - ICE FUTURES U.S.,2011-08-23,16422,29266,187394,-12844
COCOA - ICE FUTURES U.S.,2011-08-30,15895,25437,187511,-9542
COCOA - ICE FUTURES U.S.,2011-09-06,16388,24482,190738,-8094
COCOA - ICE FUTURES U.S.,2011-09-13,14740,29389,205949,-14649
COCOA - ICE FUTURES U.S.,2011-09-20,14462,39433,216378,-24971
COCOA - ICE FUTURES U.S.,2011-09-27,14397,43390,216648,-28993
COCOA - ICE FUTURES U.S.,2011-10-04,12563,43519,229941,-30956
COCOA - ICE FUTURES U.S.,2011-10-11,12445,41513,236446,-29068
COCOA - ICE FUTURES U.S.,2011-10-18,13284,42447,240101,-29163
COCOA - ICE FUTURES U.S.,2011-10-25,15298,44089,244690,-28791
COCOA - ICE FUTURES U.S.,2011-11-01,14247,37211,247989,-22964
COCOA - ICE FUTURES U.S.,2011-11-08,15715,33698,198952,-17983
COCOA - ICE FUTURES U.S.,2011-11-15,12238,31180,171319,-18942
COCOA - ICE FUTURES U.S.,2011-11-22,11661,32442,172164,-20781
COCOA - ICE FUTURES U.S.,2011-11-29,12613,35302,178209,-22689
COCOA - ICE FUTURES U.S.,2011-12-06,12878,39032,186921,-26154
COCOA - ICE FUTURES U.S.,2011-12-13,14500,42967,192346,-28467
COCOA - ICE FUTURES U.S.,2011-12-20,13278,40937,192889,-27659
COCOA - ICE FUTURES U.S.,2011-12-27,12693,39023,192416,-26330
COCOA - ICE FUTURES U.S.,2012-01-03,12464,39350,199525,-26886
COCOA - ICE FUTURES U.S.,2012-01-10,14706,43176,196235,-28470
COCOA - ICE FUTURES U.S.,2012-01-17,14106,40839,193307,-26733
COCOA - ICE FUTURES U.S.,2012-01-24,14565,38641,194290,-24076
COCOA - ICE FUTURES U.S.,2012-01-31,12199,32792,192710,-20593
COCOA - ICE FUTURES U.S.,2012-02-07,11104,35407,179502,-24303
COCOA - ICE FUTURES U.S.,2012-02-14,11961,39909,173233,-27948
COCOA - ICE FUTURES U.S.,2012-02-21,11949,35943,173970,-23994
COCOA - ICE FUTURES U.S.,2012-02-28,13157,33245,171622,-20088
COCOA - ICE FUTURES U.S.,2012-03-06,13667,35776,180068,-22109
COCOA - ICE FUTURES U.S.,2012-03-13,14075,33421,183825,-19346
COCOA - ICE FUTURES U.S.,2012-03-20,12661,33997,181278,-21336
COCOA - ICE FUTURES U.S.,2012-03-27,14450,33342,186209,-18892
COCOA - ICE FUTURES U.S.,2012-04-03,13401,38225,192144,-24824
COCOA - ICE FUTURES U.S.,2012-04-10,13209,44357,190633,-31148
COCOA - ICE FUTURES U.S.,2012-04-17,12704,44950,186560,-32246
COCOA - ICE FUTURES U.S.,2012-04-24,11998,41424,189960,-29426
COCOA - ICE FUTURES U.S.,2012-05-01,13419,39984,195076,-26565
COCOA - ICE FUTURES U.S.,2012-05-08,14349,35886,192619,-21537
COCOA - ICE FUTURES U.S.,2012-05-15,14318,35374,195805,-21056
COCOA - ICE FUTURES U.S.,2012-05-22,14617,37224,197393,-22607
COCOA - ICE FUTURES U.S.,2012-05-29,13275,36007,201720,-22732
COCOA - ICE FUTURES U.S.,2012-06-05,12899,38995,200677,-26096
COCOA - ICE FUTURES U.S.,2012-06-12,13111,33866,180729,-20755
COCOA - ICE FUTURES U.S.,2012-06-19,15353,32016,179844,-16663
COCOA - ICE FUTURES U.S.,2012-06-26,15811,35522,183950,-19711
COCOA - ICE FUTURES U.S.,2012-07-03,23320,30112,193582,-6792
COCOA - ICE FUTURES U.S.,2012-07-10,26531,28721,196931,-2190
COCOA - ICE FUTURES U.S.,2012-07-17,26988,32898,201476,-5910
COCOA - ICE FUTURES U.S.,2012-07-24,26745,34476,205903,-7731
COCOA - ICE FUTURES U.S.,2012-07-31,27842,28617,210372,-775
COCOA - ICE FUTURES U.S.,2012-08-07,32284,29015,208334,3269
COCOA - ICE FUTURES U.S.,2012-08-14,37991,31787,209504,6204
COCOA - ICE FUTURES U.S.,2012-08-21,42177,37224,209422,4953
COCOA - ICE FUTURES U.S.,2012-08-28,41502,33909,211987,7593
COCOA - ICE FUTURES U.S.,2012-09-04,44119,26232,222915,17887
COCOA - ICE FUTURES U.S.,2012-09-11,46682,25848,233875,20834
COCOA - ICE FUTURES U.S.,2012-09-18,40086,24056,226838,16030
COCOA - ICE FUTURES U.S.,2012-09-25,36812,19907,223926,16905
COCOA - ICE FUTURES U.S.,2012-10-02,35495,20246,226789,15249
COCOA - ICE FUTURES U.S.,2012-10-09,35243,21270,226489,13973
COCOA - ICE FUTURES U.S.,2012-10-16,36552,21263,228728,15289
COCOA - ICE FUTURES U.S.,2012-10-23,36796,19050,236102,17746
COCOA - ICE FUTURES U.S.,2012-10-30,33996,18308,233485,15688
COCOA - ICE FUTURES U.S.,2012-11-06,35383,17681,215703,17702
COCOA - ICE FUTURES U.S.,2012-11-13,33335,19300,200874,14035
COCOA - ICE FUTURES U.S.,2012-11-20,37948,17379,212350,20569
COCOA - ICE FUTURES U.S.,2012-11-27,41750,16107,219139,25643
COCOA - ICE FUTURES U.S.,2012-12-04,48652,18684,228437,29968
COCOA - ICE FUTURES U.S.,2012-12-11,44367,16103,220003,28264
COCOA - ICE FUTURES U.S.,2012-12-18,43290,14890,216235,28400
COCOA - ICE FUTURES U.S.,2012-12-24,38177,16796,214981,21381
COCOA - ICE FUTURES U.S.,2012-12-31,37587,18387,218218,19200
COCOA - ICE FUTURES U.S.,2013-01-08,36471,23550,219639,12921
